speechiness,instrumentalness,acousticness,energy,danceability,valence,id,cluster
0.0876,0.0361,0.00127,0.826,0.873,0.201,2TDyyEBasw10wu5Uh94bR1,0
0.0538,0.0,0.0798,0.77,0.816,0.671,5NxhMcHSVY3Z7ykWxZf3aj,3
0.406,0.0,0.102,0.711,0.711,0.663,7EyGZtJuOckQfMDJL1PPrH,2
0.0929,0.0,0.325,0.624,0.765,0.277,4dLIAE3xbJLoiIBbKkZWJk,4
0.117,0.0,0.121,0.772,0.813,0.443,0rvbMTIWwMZaMC9UnubDPb,3
0.0826,0.0,0.0628,0.541,0.699,0.365,6TBzRwnX2oYd8aOrOuyK1p,0
0.0972,0.000107,0.152,0.73,0.772,0.786,1lRtH4FszTrwwlK5gTSbXO,3
0.0722,0.0,0.102,0.55,0.87,0.566,3kUq4sBcmxhnOtNysZ9yrp,3
0.0516,1.73e-05,0.141,0.475,0.801,0.234,5Eax0qFko2dh7Rl2lYs3bx,4
0.0366,0.0,0.551,0.418,0.406,0.468,1caKQ2Nqtr1eoczaB83cUz,4
0.149,0.0,0.276,0.747,0.829,0.576,2X8AGLwb9F0JzJ9zT27a22,3
0.229,3.56e-05,0.44,0.544,0.726,0.613,3LWay44eeYFEh27Gf1UA7J,2
0.0315,3.05e-06,0.449,0.865,0.743,0.794,2K9kZpwD2CzTa6iiSYYOoO,3
0.144,0.0,0.0145,0.6,0.889,0.501,4wteGC0HtLeZWjDcczc4Pw,3
0.14,0.427,0.647,0.248,0.416,0.134,1wTopxO5eQBpxrBXPSbsUn,5
0.0852,0.000365,0.0158,0.874,0.792,0.934,1JUtrCqYzJ80tcAzMbCvir,3
0.0261,0.0,0.0708,0.761,0.571,0.681,1yHVHoz6Ny29gbbWJYVnFt,3
0.124,0.0,0.202,0.504,0.783,0.334,2JIY6nN5kkkfNz0TckPqYu,4
0.0365,5.56e-06,0.00887,0.626,0.681,0.676,7rS4oy2qpJNULQAVgJQTun,3
0.0538,0.00586,0.133,0.66,0.657,0.419,2x8zUjRP6z5N2GmZ13zU76,0
0.0282,0.0542,0.77,0.409,0.62,0.582,3iBgrkexCzVuPy4O9vx7Mf,4
0.212,0.0,0.396,0.787,0.546,0.497,12cZWGf5ZgLcKubEW9mx5q,2
0.0784,0.000413,0.473,0.423,0.731,0.78,0wOtc2nY3NOohp4xSwOyTN,3
0.0375,0.0,0.227,0.581,0.667,0.407,65gLItuJFVkdt3k4ibQMAz,4
0.0361,0.0,0.78,0.403,0.562,0.548,74d3yEyNl807mtzttoKTbK,4
0.0703,0.00464,0.813,0.456,0.548,0.53,31Wlc9ZnraX3JxrvMg9e8H,4
0.0761,0.0,0.35,0.66,0.481,0.504,0GfCR4T6WOErZOw1557ln7,0
0.043,0.0,0.0635,0.526,0.695,0.534,0XdwIG7p28SeTam3DVdMX6,3
0.0281,0.0377,0.404,0.49,0.518,0.248,5UhZyWfrSEhGYfIIFNYscF,4
0.0866,0.0,0.0518,0.935,0.331,0.565,48ElaQLYuOaybqagIlPxpU,0
0.0358,0.0412,0.00161,0.834,0.644,0.744,2XynYulas10Wmef4Gqrxw9,3
0.0573,0.227,0.00243,0.716,0.533,0.38,4IPATLSUoEdsmqwxwNjr4g,0
