key,duration_ms,tempo,mode,instrumentalness,id,cluster
0,203625,86.985,1,0.181,1UxiPpx3EC2SqFmGoqlXOy,5
1,204503,72.005,1,3.31e-06,0V9QY6NnXtAMwjltgMP0pl,5
7,272291,140.927,1,0.000255,4TNlAMva0Nuywl9pfX2Jqr,1
5,154280,123.994,1,0.0098,5bsfGuTSjqfkJdQQ4xVx9X,4
2,243206,177.998,1,0.0194,02jhBMmYb4HHlrDP4kPp6f,1
2,183280,114.507,1,0.0443,0v495WkHYR3mOSIMrw0fBZ,5
10,139333,82.51,1,2.45e-05,2JHFr3SVvWSGoFKg3kvTgw,4
11,100441,95.626,0,0.939,2YFtpiy2WoAQVQbM1SIwES,7
1,118250,89.329,0,0.948,3VM35337X7Ro1tesUHnZ95,7
5,99853,138.477,0,0.912,4xO3mTbZDnaDSJtRdgzXQc,7
11,123500,72.453,1,0.945,2bjQvSk5T3A2dmnqqeRhzI,3
7,117016,174.925,1,0.937,0jSUVrvKQ0qF8ee1usL34M,3
7,112885,135.492,1,0.927,4516jKqIrGNIShWH3WBqmd,3
8,115124,65.875,1,0.933,73uDJDqIcF5QQWXZ19rH8z,3
0,103980,72.862,1,0.928,5M6q2VBF4KLF961xGLPFw9,3
6,133488,157.343,0,0.908,3ZvBA6TQA4CTOZNOyxou90,7
7,163000,171.767,1,0.913,7hVcd9PDdO0xK8vE3WQqnV,3
3,125056,73.191,0,0.954,49VzYsJHrITQOn28WBMztb,7
7,155175,83.794,0,0.874,4uHzzAb1p6gK5unlp64Vrg,7
5,140602,164.635,1,0.941,5xm1Ot6JDIp5r9SFM6XQrW,3
3,151765,101.97,1,0.928,6axlKJ7OnW6zxM16Hxwbb0,3
1,130166,62.479,1,0.947,5hFkGfx038V0LhqI0Uff2J,3
10,120269,75.78,1,0.924,6rvmhiAd5jtT5CzLIcnj4p,3
5,199167,67.988,1,0.945,6eir7TDacjXjFscPxDFHC4,3
10,99568,151.381,1,0.958,4uoJsS8jQmsHmdoORGzxh0,3
9,139412,94.414,1,0.927,597H3V2av5dnxNcIDa4Yrk,3
0,202732,126.995,0,0.927,02VydYQOYaLGZX2MWoCCQ8,7
3,127000,99.932,1,0.946,42cskWMuFydbI9f9um1sTj,3
9,153306,103.102,1,0.896,5Y223UTPJjOIDVS2vs73g0,3
1,130890,69.216,1,0.968,5TRzmeTTbtVrsblB0HTZn7,3
7,131787,113.418,1,0.934,63oFS9JTsvadCXUqwqA7p0,3
1,105787,70.853,1,0.912,763DOeT2XIrzMjbC3LLF5i,3
10,146091,107.794,0,0.952,70pC9IQb39VDNUm3Uio5kD,7
0,131951,100.305,1,0.955,3x16lncPJzr2VDTtVrPpgj,3
2,137647,100.61,1,0.878,10qZCmeusg6BbdHDTMADpr,3
6,151894,131.656,0,0.91,63PdrrV4D4DtKpB4JEKMTJ,7
4,156706,90.174,1,0.891,7zVpXNJWZTx9VFGsASdvDb,3
2,151750,67.394,0,0.937,6tw5ZIanXzO4ufu4abt7Vn,7
6,150898,113.805,1,0.938,4EIbWNNAT3TqvzflNhGKyU,3
7,137071,205.672,0,0.892,75XNNOrKVTwJ1lEGbE1a8q,7
7,143920,117.282,0,0.922,0vebajCQqWh9EQ5wAYguqo,7
10,221703,120.107,1,0.953,1g3qZv1GGqwMBrXzogTpTx,3
5,205100,93.185,0,0.949,502QNU8kHHhL4rA9ft0Jcl,7
3,159125,107.079,1,0.922,5Ooy87HjMYRxy5qiRNsilk,3
6,125249,80.989,1,0.964,7F6hlMdM7OrUw8C1W4pjAC,3
8,143400,116.219,1,0.939,3iTgM3cDPpZCQ4GL1pP0Ss,3
3,154875,122.271,1,0.884,2QvgJkZmnXdozvMMgfohJp,3
2,120666,65.235,1,0.92,4dHsrfybYMwR47LWYjLxR5,3
1,176557,98.943,1,0.879,0tL0JB08d5De5zBko245Y8,3
1,142913,75.08,1,0.941,3hy3BLtI2pYAGZOjNvg8Hy,3
5,128932,170.149,1,0.932,244BGt6n916G7NdoOUKSsX,3
1,150833,75.396,1,0.944,48Jivh6jAj87eK6lj3FtUo,3
3,182836,133.389,1,0.916,5opvuJQY6nSCwA0Wj42yC9,3
2,159440,81.007,1,0.964,6yFNVbbhoPzPmGCYZWlFcw,3
9,121750,131.662,1,0.925,5Nx2GkAaDfh18aZ99OyctW,3
7,127538,68.395,1,0.94,4EQRrRdoQ8vC4ULe8Kygpw,3
7,165294,67.807,1,0.969,5DWI8rBs9a5fyeR35poYYm,3
7,144125,99.583,0,0.924,3XQE7ZJGVZTcPcZMZslJk5,7
10,174866,92.095,1,0.937,7ex04ig5hEOizRLHLGlLO7,3
8,192817,111.725,1,0.937,0BZLKyvqypWnn5kfysaNPt,3
2,137250,94.543,1,0.947,5TQcYO4moNRTTrtM5Frj30,3
11,122698,110.636,1,0.899,1FxrWXRLIi0aUDlTQNLQZY,3
8,108023,89.902,1,0.964,23yqVbpiJoMHTs0RX4aPE7,3
1,95734,69.306,1,0.954,2PPYHVE2EqwC8GASDE5Qzi,3
5,116750,75.745,0,0.918,2WCeRZDVyagKARVqAxr7QW,7
1,116719,139.106,1,0.899,1fFH5FN5xZx2WT2dBXm4qx,3
4,147152,161.705,1,0.944,3W6h25jvS5vCfUoGuZFx9c,3
9,148907,84.753,1,0.929,2HwCcCi8Up9NECNBRt0yTV,3
0,131238,94.127,0,0.97,2m7XqU0gRlcPasjZCKvp6f,7
0,101825,130.054,0,0.857,7oWtvkBURDJnmTZr40IE6k,7
9,99384,65.229,1,0.949,6hzlEcgzqLW9UbLsUZMTVP,3
10,119120,114.487,1,0.907,2p5THyuNwpJ9c7ex3TN383,3
6,117800,90.192,0,0.928,6WRGJsfwcYjyOtzgpyizPV,7
0,121500,130.965,1,0.936,4W4kAu3nU0Zp8WH7owpjbn,3
0,155705,59.852,1,0.9,4RfSDsnP15kSfeu4FxItmX,3
