danceability,tempo,energy,valence,mode,id,cluster
0.681,89.89,0.711,0.826,0,1PAvhqefivTNdxZ4u8RT1d,4
0.756,92.028,0.735,0.558,1,3HMlb6Dh9OGr3CjV6IwjEP,12
0.531,169.865,0.58,0.887,0,0Dl34Kegtc0y0m0oPhQfiI,11
0.873,106.972,0.826,0.201,1,2TDyyEBasw10wu5Uh94bR1,0
0.816,96.99,0.77,0.671,1,5NxhMcHSVY3Z7ykWxZf3aj,12
0.711,173.945,0.711,0.663,1,7EyGZtJuOckQfMDJL1PPrH,10
0.765,92.984,0.624,0.277,1,4dLIAE3xbJLoiIBbKkZWJk,0
0.813,119.99,0.772,0.443,1,0rvbMTIWwMZaMC9UnubDPb,0
0.699,98.395,0.541,0.365,1,6TBzRwnX2oYd8aOrOuyK1p,5
0.772,136.175,0.73,0.786,0,1lRtH4FszTrwwlK5gTSbXO,4
0.87,95.019,0.55,0.566,1,3kUq4sBcmxhnOtNysZ9yrp,12
0.801,98.047,0.475,0.234,0,5Eax0qFko2dh7Rl2lYs3bx,13
0.406,126.264,0.418,0.468,0,1caKQ2Nqtr1eoczaB83cUz,7
0.829,98.03,0.747,0.576,1,2X8AGLwb9F0JzJ9zT27a22,12
0.726,178.117,0.544,0.613,1,3LWay44eeYFEh27Gf1UA7J,10
0.743,129.999,0.865,0.794,1,2K9kZpwD2CzTa6iiSYYOoO,12
0.889,123.978,0.6,0.501,1,4wteGC0HtLeZWjDcczc4Pw,12
0.416,161.667,0.248,0.134,1,1wTopxO5eQBpxrBXPSbsUn,2
0.792,113.969,0.874,0.934,1,1JUtrCqYzJ80tcAzMbCvir,12
0.571,91.991,0.761,0.681,1,1yHVHoz6Ny29gbbWJYVnFt,6
0.783,126.009,0.504,0.334,0,2JIY6nN5kkkfNz0TckPqYu,13
0.681,128.036,0.626,0.676,1,7rS4oy2qpJNULQAVgJQTun,12
0.657,118.984,0.66,0.419,1,2x8zUjRP6z5N2GmZ13zU76,0
0.62,113.946,0.409,0.582,1,3iBgrkexCzVuPy4O9vx7Mf,5
0.546,100.559,0.787,0.497,0,12cZWGf5ZgLcKubEW9mx5q,1
0.731,76.964,0.423,0.78,1,0wOtc2nY3NOohp4xSwOyTN,12
0.667,122.016,0.581,0.407,1,65gLItuJFVkdt3k4ibQMAz,0
0.562,82.518,0.403,0.548,1,74d3yEyNl807mtzttoKTbK,5
0.548,173.839,0.456,0.53,1,31Wlc9ZnraX3JxrvMg9e8H,10
0.481,111.832,0.66,0.504,1,0GfCR4T6WOErZOw1557ln7,6
0.695,121.939,0.526,0.534,1,0XdwIG7p28SeTam3DVdMX6,12
0.518,79.992,0.49,0.248,1,5UhZyWfrSEhGYfIIFNYscF,5
0.331,77.461,0.935,0.565,1,48ElaQLYuOaybqagIlPxpU,6
0.644,94.922,0.834,0.744,1,2XynYulas10Wmef4Gqrxw9,12
0.533,120.058,0.716,0.38,1,4IPATLSUoEdsmqwxwNjr4g,0
0.667,129.991,0.956,0.17,1,76YXmewvHFse7tBeOTtSx3,0
0.543,95.086,0.386,0.6,0,6PoD6ZYOAMkCJAbpAgpT1T,1
0.565,164.03,0.402,0.538,1,11pocbaq7T3ouJd4oa64Xn,10
0.661,105.917,0.707,0.385,1,2hNQDbZcN3vqRAuwiz7poI,0
0.528,106.436,0.43,0.304,1,7iinMLIDWw5QA7d6x0d5HJ,5
0.899,127.018,0.711,0.126,1,7itIhLBlKcpdaSqXRsSuW3,0
0.564,115.004,0.68,0.53,1,06YDsNc6mrl60G2FZeUOmE,6
0.788,114.981,0.68,0.742,1,4KQODLeXGCDfixEiUX6aDF,12
0.65,125.998,0.746,0.385,1,3s32YmunFgfXVWgLRKLdKm,0
0.708,128.034,0.709,0.511,0,1YWr18dWRmuvPgAsPBsOow,13
0.715,107.971,0.649,0.737,1,3Mi8teeczekyPhn5lgW8li,12
0.878,150.029,0.714,0.636,1,3wHRgXJJTTwS2CkusTpn56,12
0.682,83.84,0.531,0.388,1,2IEAEeX4LtxiYPdqt0C08y,5
0.582,174.995,0.961,0.393,0,2YiQL9Aa4PmGF8oMFADzzA,11
0.699,104.023,0.372,0.831,1,11sfRkHdvsop5DdHVmGpt1,12
0.376,168.026,0.831,0.289,1,0KmC4jFH8axcJqKvOTBXeX,8
0.735,91.0,0.662,0.605,0,3iwKWIaEZ5jafPYZZSCDLz,4
0.372,183.792,0.27,0.0852,0,6EoI0gxW5egUN3SFxgQb7H,7
0.662,126.004,0.741,0.619,1,4N27EhvsqQ0FWVrPS4trAS,12
0.609,128.117,0.466,0.332,1,4x83cYbV42NT0z1QkTj4TN,0
0.617,127.385,0.272,0.301,1,6rN8cR7iEcC1hAlHF4UpSN,5
0.738,90.012,0.613,0.637,0,1muiS9jrDUTADqIE7yKuYV,4
0.404,145.934,0.576,0.489,1,3vHKqg3WDgtWA5unl5layh,8
0.611,146.064,0.902,0.375,1,3gB0fkEzOzV0kEWuQBFweu,0
0.667,121.373,0.81,0.829,0,2I0aHZjCXh6UjMHIOqugYF,4
0.608,85.693,0.473,0.207,0,4XwVObmSna9zn4hOtWrptC,1
0.593,78.023,0.688,0.145,1,2gSPHSdf0vrk2Psxmn8sUn,6
0.524,98.054,0.631,0.243,1,49xISBZpODXRwd7vVxGL93,6
0.78,126.041,0.575,0.915,1,5F6gniXisSbOKtfgIJIKoD,12
0.484,137.989,0.864,0.425,1,2Iu5OBDudGv5B0qfKKKbGm,8
0.943,134.021,0.729,0.845,0,5a72KEfxqoMjzI0sv1By3w,4
0.414,66.734,0.577,0.78,0,7blLoD6TgyXy2tiTtbOLsI,1
0.499,159.842,0.938,0.494,1,0D5le1perOPiaFYmNak8Kp,10
0.679,141.016,0.74,0.674,1,3ne8gcrNZD2lJihBGl5RC5,12
0.77,114.042,0.805,0.964,0,0uoaYBn3prfGyWQR59wkeQ,4
0.825,146.41,0.672,0.816,1,06vDTKSGYDtZpXt8q0S5Zb,12
0.524,94.004,0.627,0.423,0,4QI32cLrF64ZTPfIHwIH5w,1
0.349,147.578,0.646,0.325,1,0AEDkc8eq71U6mNRW034zz,8
0.766,100.097,0.549,0.678,1,0tBoaUMgYe6JuDHsTvVSpP,12
0.669,74.999,0.51,0.642,0,0teFeL0RvDeDbpmi1YZlFt,1
0.842,142.079,0.611,0.723,1,3zMp6WgIRFof3uq6B43iQO,12
0.733,122.985,0.812,0.409,0,39C3SOi6UMD9rHeXAQPNa9,13
0.797,129.926,0.733,0.445,1,71jQDHJXd7RZ3MbgqVjQeg,0
0.436,159.869,0.497,0.495,1,5GKs69j8y4MajGkizLNFCK,10
0.614,77.685,0.665,0.852,1,3Bey9kH0UEORyDMxT7Oph8,12
0.816,116.035,0.367,0.413,1,1SRw5p2lVAi7RGlHEmZg66,5
0.695,123.298,0.727,0.418,0,5SBNMriy9hxF4I8iyooBGx,13
0.799,124.054,0.603,0.282,1,4jCu9I3jXfKLr48r98RyVg,0
0.725,113.032,0.624,0.32,0,3p3tezl8FJHkm68tczR0yP,13
0.805,125.023,0.61,0.805,0,7uZ5C69LskNw0B4szvVWI5,4
0.392,162.071,0.487,0.38,1,5zyaXeckgqmCJso44ma5gK,8
0.58,141.241,0.84,0.562,1,1RKP6D6QvUStrPP5TvPnXA,10
0.533,140.088,0.847,0.494,1,6dmZu0IVmbT1rDIiYiRchg,10
0.562,128.059,0.691,0.483,1,0AQ3u9Uzk3IG5r7sjYH0Cu,0
0.812,112.002,0.706,0.621,0,4xYlpJPENfM4DT0rUYFqSP,4
0.51,157.57,0.895,0.418,0,24TzmWrz2HHWV3UO5PlvNb,11
0.592,88.761,0.54,0.223,1,4E5gMun6nSKQJg5EqU2QhH,5
0.613,126.049,0.97,0.55,1,4GUxUmge58qGkX81nD2RRe,12
0.728,129.895,0.468,0.691,1,4PZXDDm2BVEccltAEGHuJp,12
0.863,125.02,0.874,0.811,0,6OHQzBYaXeF6FVu8gxLMkE,4
0.468,113.828,0.617,0.432,1,6KkeXDWP0gvoJkouKmF6De,6
0.463,115.992,0.381,0.216,0,7E6jdcJTGDpYmjHFnXu3vG,7
0.837,119.981,0.61,0.882,1,0ETmDfpRKtQIC45COn64V9,12
0.605,111.003,0.873,0.485,1,09pr49bPWb2OKkDSvxKn2s,6
0.479,78.931,0.489,0.237,1,0sNOQIiJEuEINXFmtZYXam,5
0.543,113.892,0.458,0.315,1,35w6sOAI3DDG4UqeWqkQJT,5
0.625,86.985,0.412,0.322,1,1UxiPpx3EC2SqFmGoqlXOy,5
0.445,72.005,0.232,0.246,1,0V9QY6NnXtAMwjltgMP0pl,14
0.308,140.927,0.782,0.448,1,4TNlAMva0Nuywl9pfX2Jqr,8
0.701,123.994,0.656,0.352,1,5bsfGuTSjqfkJdQQ4xVx9X,0
0.717,177.998,0.482,0.646,1,02jhBMmYb4HHlrDP4kPp6f,10
0.376,114.507,0.533,0.384,1,0v495WkHYR3mOSIMrw0fBZ,6
0.635,82.51,0.641,0.422,1,2JHFr3SVvWSGoFKg3kvTgw,5
0.435,95.626,0.00661,0.203,0,2YFtpiy2WoAQVQbM1SIwES,9
0.484,89.329,0.059,0.308,0,3VM35337X7Ro1tesUHnZ95,9
0.364,138.477,0.0168,0.309,0,4xO3mTbZDnaDSJtRdgzXQc,7
0.307,72.453,0.0381,0.0631,1,2bjQvSk5T3A2dmnqqeRhzI,14
0.366,174.925,0.108,0.435,1,0jSUVrvKQ0qF8ee1usL34M,2
0.323,135.492,0.00851,0.341,1,4516jKqIrGNIShWH3WBqmd,2
0.402,65.875,0.0619,0.14,1,73uDJDqIcF5QQWXZ19rH8z,14
0.429,72.862,0.0542,0.142,1,5M6q2VBF4KLF961xGLPFw9,14
