speechiness,instrumentalness,acousticness,liveness,loudness,id,cluster
0.258,0.000195,0.203,0.492,-13.212,6PoD6ZYOAMkCJAbpAgpT1T,3
0.0341,8.43e-06,0.517,0.115,-9.982,11pocbaq7T3ouJd4oa64Xn,4
0.0285,1.85e-06,0.628,0.0852,-7.19,2hNQDbZcN3vqRAuwiz7poI,4
0.0322,4.09e-06,0.334,0.138,-6.1,7iinMLIDWw5QA7d6x0d5HJ,0
0.139,0.0,0.0135,0.204,-4.388,7itIhLBlKcpdaSqXRsSuW3,0
0.027,0.00669,0.00354,0.33,-5.585,06YDsNc6mrl60G2FZeUOmE,2
0.0802,0.0,0.142,0.0642,-5.716,4KQODLeXGCDfixEiUX6aDF,0
0.0359,0.0116,0.0213,0.182,-7.55,3s32YmunFgfXVWgLRKLdKm,0
0.0641,1.9e-06,0.157,0.142,-5.881,1YWr18dWRmuvPgAsPBsOow,0
0.0664,0.174,0.144,0.282,-8.596,3Mi8teeczekyPhn5lgW8li,0
0.239,7.64e-06,0.0528,0.143,-6.344,3wHRgXJJTTwS2CkusTpn56,3
0.249,0.0,0.00368,0.106,-5.787,2IEAEeX4LtxiYPdqt0C08y,3
0.183,0.000608,0.00266,0.19,-5.365,2YiQL9Aa4PmGF8oMFADzzA,0
0.0476,0.915,0.363,0.1,-13.396,11sfRkHdvsop5DdHVmGpt1,5
0.0826,0.00764,0.0417,0.0678,-6.543,0KmC4jFH8axcJqKvOTBXeX,0
0.0506,0.0,0.392,0.0809,-4.555,3iwKWIaEZ5jafPYZZSCDLz,0
0.0385,0.273,0.737,0.114,-12.041,6EoI0gxW5egUN3SFxgQb7H,4
0.0315,0.0,0.0598,0.126,-4.506,4N27EhvsqQ0FWVrPS4trAS,0
0.133,0.0,0.525,0.0937,-7.725,4x83cYbV42NT0z1QkTj4TN,0
0.055,9.22e-06,0.86,0.125,-9.594,6rN8cR7iEcC1hAlHF4UpSN,4
0.0649,0.0,0.309,0.139,-6.81,1muiS9jrDUTADqIE7yKuYV,0
0.244,3.8e-06,0.0693,0.551,-5.803,3vHKqg3WDgtWA5unl5layh,2
0.0403,0.552,0.00332,0.0804,-3.952,3gB0fkEzOzV0kEWuQBFweu,5
0.344,0.0,0.0922,0.131,-2.801,2I0aHZjCXh6UjMHIOqugYF,3
0.347,2.79e-05,0.681,0.0982,-7.012,4XwVObmSna9zn4hOtWrptC,3
0.0444,0.0,0.000169,0.138,-6.529,2gSPHSdf0vrk2Psxmn8sUn,0
0.0328,0.000779,0.000996,0.291,-5.196,49xISBZpODXRwd7vVxGL93,0
0.0561,0.0,0.306,0.0416,-5.631,5F6gniXisSbOKtfgIJIKoD,0
0.0467,0.0,0.0324,0.0926,-4.593,2Iu5OBDudGv5B0qfKKKbGm,0
0.313,0.0,0.00543,0.126,-7.854,5a72KEfxqoMjzI0sv1By3w,3
0.118,0.00229,0.485,0.264,-11.837,7blLoD6TgyXy2tiTtbOLsI,4
0.148,2.41e-06,0.00218,0.597,-4.57,0D5le1perOPiaFYmNak8Kp,2
0.0588,0.0451,0.198,0.107,-7.746,3ne8gcrNZD2lJihBGl5RC5,0
0.0778,0.000287,0.00476,0.135,-5.813,0uoaYBn3prfGyWQR59wkeQ,0
0.0635,0.89,0.0986,0.0908,-7.651,06vDTKSGYDtZpXt8q0S5Zb,5
0.128,0.0,0.355,0.1,-4.906,4QI32cLrF64ZTPfIHwIH5w,0
0.213,0.0,0.424,0.223,-6.689,0AEDkc8eq71U6mNRW034zz,3
0.253,1.95e-05,0.106,0.104,-9.739,0tBoaUMgYe6JuDHsTvVSpP,3
0.105,0.0,0.193,0.119,-8.315,0teFeL0RvDeDbpmi1YZlFt,0
0.345,0.0,0.302,0.178,-10.584,3zMp6WgIRFof3uq6B43iQO,3
0.0421,0.000962,0.0224,0.167,-4.634,39C3SOi6UMD9rHeXAQPNa9,0
0.15,0.0,0.00173,0.365,-2.308,71jQDHJXd7RZ3MbgqVjQeg,2
0.0292,0.0,0.0633,0.166,-4.442,5GKs69j8y4MajGkizLNFCK,0
0.248,0.0,0.18,0.197,-5.452,3Bey9kH0UEORyDMxT7Oph8,3
0.0588,0.0,0.314,0.0987,-9.354,1SRw5p2lVAi7RGlHEmZg66,0
0.0969,0.0,0.22,0.125,-4.605,5SBNMriy9hxF4I8iyooBGx,0
0.129,0.0,0.0368,0.188,-7.917,4jCu9I3jXfKLr48r98RyVg,0
0.0781,0.0166,0.33,0.11,-8.63,3p3tezl8FJHkm68tczR0yP,0
0.0372,0.0,0.382,0.153,-4.261,7uZ5C69LskNw0B4szvVWI5,0
0.045,0.0,0.29,0.102,-5.899,5zyaXeckgqmCJso44ma5gK,0
0.0388,0.000124,0.000152,0.419,-6.102,1RKP6D6QvUStrPP5TvPnXA,2
0.0383,0.533,0.0127,0.159,-7.261,6dmZu0IVmbT1rDIiYiRchg,5
0.0328,1.91e-06,0.00265,0.105,-4.702,0AQ3u9Uzk3IG5r7sjYH0Cu,0
0.0709,0.0,0.0412,0.107,-6.054,4xYlpJPENfM4DT0rUYFqSP,0
0.059,8.49e-05,0.00638,0.135,-4.313,24TzmWrz2HHWV3UO5PlvNb,0
0.562,0.0,0.0583,0.0955,-10.706,4E5gMun6nSKQJg5EqU2QhH,3
0.0787,0.0508,0.000837,0.327,-4.763,4GUxUmge58qGkX81nD2RRe,2
0.061,8.63e-06,0.559,0.383,-9.126,4PZXDDm2BVEccltAEGHuJp,2
0.0884,0.0878,0.00712,0.0455,-4.798,6OHQzBYaXeF6FVu8gxLMkE,0
0.0426,0.000673,0.0529,0.0659,-8.42,6KkeXDWP0gvoJkouKmF6De,0
0.0417,0.000187,0.695,0.156,-10.755,7E6jdcJTGDpYmjHFnXu3vG,4
0.046,1.74e-05,0.0555,0.135,-7.358,0ETmDfpRKtQIC45COn64V9,0
0.0448,0.0,0.126,0.0826,-3.542,09pr49bPWb2OKkDSvxKn2s,0
0.03,0.0005,0.169,0.131,-8.768,0sNOQIiJEuEINXFmtZYXam,0
0.0367,0.0,0.453,0.0804,-6.392,35w6sOAI3DDG4UqeWqkQJT,0
0.156,0.181,0.456,0.105,-8.483,1UxiPpx3EC2SqFmGoqlXOy,0
0.0294,3.31e-06,0.886,0.128,-9.145,0V9QY6NnXtAMwjltgMP0pl,4
0.0529,0.000255,0.00642,0.187,-5.568,4TNlAMva0Nuywl9pfX2Jqr,0
0.0373,0.0098,0.0679,0.0622,-9.312,5bsfGuTSjqfkJdQQ4xVx9X,0
0.173,0.0194,0.0108,0.157,-9.211,02jhBMmYb4HHlrDP4kPp6f,0
